filename,procdump,dropped,processes,files,read_files,write_files,delete_files,keys,read_keys,write_keys,delete_keys,executed_commands,resolved_apis,mutexes,started_services,hosts,domains,tcp,udp,icmp,http,dns,dead_hosts,signatures_count,ttps_count,status
218.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,473,0,0,10,0,1,1,benign
219.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
22.json,0,0,1,24,0,0,0,90,48,6,0,0,0,4,0,1,0,1,17,0,2,0,0,7,2,suspicious
220.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,3,8,23,0,1,2,0,0,0,benign
221.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,benign
222.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,benign
223.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,benign
224.json,0,0,5,67,0,0,0,3738,3173,6,0,5,0,8,0,2,2,230,124,8,0,2,0,4,1,benign
225.json,1,0,2,64,0,0,0,540,271,0,0,1,0,0,0,2,10,64,37,2,0,10,0,19,15,malicious
226.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,22,2,0,0,0,4,4,benign
227.json,71,0,72,221,72,72,0,9,2,4,0,72,0,1,0,0,0,323,121,4,0,0,0,10,9,suspicious
228.json,2,2,11,210,3,3,2,5222,3758,26,0,15,0,20,2,2,1,394,64,2,1,1,1,33,24,malicious
229.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,81,2,0,0,0,0,0,benign
23.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,benign
230.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,52,0,0,0,0,0,0,benign
231.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,47,2,0,0,0,2,2,benign
232.json,0,0,1,124,0,0,1,3892,3162,40,0,0,0,9,0,0,0,379,104,2,0,0,0,7,4,benign
233.json,0,0,7,314,3,3,10,9056,5216,139,2,7,2,63,1,0,0,408,110,4,0,0,0,12,5,benign
234.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,benign
235.json,0,0,1,80,0,0,0,691,463,28,0,0,0,7,0,0,0,418,87,4,0,0,2,7,3,suspicious
236.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,benign
